pagina,LOCAL,EMPATE,VISITA,LE,EV,LV,MAS 2.5,MENOS 2.5,AMBOS SI,AMBOS NO,LOCAL AMBOS SI,LOCAL AMBOS NO,VISITA AMNBOS SI,VISITA AMBOS NO,EMPATE AMBOS SI,EMPATE AMBOS NO,LOCAL-LOCAL,LOCAL-EMPATE,LOCAL-VISITA,EMPATE-LOCAL,EMPATE-EMPATE,EMPATE-VISITA,VISITA-LOCAL,VISITA-EMPATE,VISITA-VISITA,LINEA GOL L,LINEA GOL V,LE NO VALIDO,V E NO VALIDO,H ASIATICO L,H ASIATICO E,H ASIATICO V,R.H.A L1,R. H. A. L2,R.H.A L3,R. H. A. L4,R. H. A. E1,R. H. A. E2,R. H. A. E3,R. H. A. E4,R. H. A. V1,R. H. A. V2,R. H. A. V3,R. H. A. V4,L.G.A 0.5 +,L.G.A 0.5 -,L.G.A 0.5 1.0 +,L.G.A 0.5 1.0 -,L.G.A 1.0 +,L.G.A 1.0 -,L.G.A 1.0 1.5 +,L.G.A 1.0 1.5 -,L.G.A 1.5 +,L.G.A 1.5 -,L.G.A 1.5 2.0 +,L.G.A 1.5 2.0 -,L.G.A 2.0 +,L.G.A 2.0 -,L.G.A 2.0 2.5 +,L.G.A 2.0 2.5 -,L.G.A 2.5 +,L.G.A 2.5 -,L.G.A 2.5 3.0 +,L.G.A 2.5 3.0 -,L.G.A 3.0 +,L.G.A 3.0 -,L.G.A 3.0 3.5 +,L.G.A 3.0 3.5 -,L.G.A 3.5 +,L.G.A 3.5 -,L.G.A 3.5 4.0 +,L.G.A 3.5 4.0 -,L.G.A 4.0 +,L.G.A 4.0 -,L.G.A 4.0 4.5 +,L.G.A 4.0 4.5 -,L.G.A 4.5 +,L.G.A 4.5 -,L.G.A 4.5 5.0+,L.G.A 4.5 5.0-,L.G.A 5.0+,L.G.A 5.0-,L.G.A 5.0 5.5+,L.G.A 5.0 5.5-,L.G.A 5.5+,L.G.A 5.5-,L.G.A 5.5 6.0+,L.G.A 5.5 6.0-,L.G.A. 6.0+,L.G.A. 6.0-,L.G.A 6.0 6.5+,L.G.A 6.0 6.5-,L.G.A 6.5+,L.G.A 6.5-,L.G.A 6.5 7.0+,L.G.A 6.5 7.0-,L.G.A. 7.0+,L.G.A. 7.0-,L.G.A 7.0 7.5+,L.G.A 7.0 7.5-,LOCAL HT,EMPATE HT,VISITA HF,LE HT,EV HT,LV HT,LOCAL AMBOS HF SI,LOCAL AMBOS HF NO,VISITA AMBOS HF SI,VISITA AMBOS HF NO,EMPATE AMBOS HF SI,EMPATE AMBOS HF NO,LOCAL GOLES MAS HF,LOCAL GOLES MENOS HF,VISITA GOLES MAS HF,VISITA GOLES MENOS HF,EMPATE GOLES MAS HF,EMPATE GOLES MENOS HF,1 MITAD MAS GOLES,2 MITAD MAS GOLES,EMPATE,MAS 0.5,MENOS 0.5,MAS 1.5,MENOS 1.5,MAS 3.5,MENOS 3.5,MAS 4.5,MENOS 4.5,MAS 5.5,MENOS 5.5,MAS 6.5,MENOS 6.5,MAS 7.5,MENOS 7.5,MAS 8.5,MENOS 8.5,MAS 9.5,MENOS 9.5,MAS 10.5,MENOS 10.5,MAS 11.5,MENOS 11.5,L MAS DE 2.5,L MENOS DE 2.5,V MAS 2.5,V MENOS 2.5,E MAS 2.5,E MENOS 2.5,MAS DE 2.5 YSI ,MAS DE 2.5 Y NO,MENOS DE 2.5 YSI,MENOS DE 2.5 Y NO,0 GOL,1 GOL,2 GOL,3 GOL,4 GOL,5 GOL,6 GOL,7 O MAS GOLES,MENOS 2 GOLES,2 O 3,MAS DE 3 GOLES,AMBOS EQUIPOS,LOCAL SOLO,SIN GOL,VISITA SOLO,1a MITAD - AMBOS ANOTARAN/SI,1a MITAD - AMBOS ANOTARAN/NO,2a MITAD - AMBOS ANOTARAN/SI,2a MITAD - AMBOS ANOTARAN/NO,AMBOS SI/SI,AMBOS SI/NO,AMBOS NO /SI,AMBOS NO/NO,1/T -GOLES +0.5,1/T -GOLES -0.5,1/T -GOLES +1.5,1/T -GOLES -1.5,1/T -GOLES +2.5,1/T -GOLES -2.5,1/T -GOLES +3.5,1/T -GOLES -3.5,1/T -GOLES +4.5,1/T -GOLES -4.5,1/T -GOLES +5.5,1/T -GOLES -5.5,1/M 0 GOLES,1/M 1 GOL,1/M 2 GOLES,1/M 3 GOLES,1/M 4 GOLES,1/M 5 GOLES +,EQUIPO ANOTARA/L,EQUIPO ANOTARA/0,EQUIPO ANOTARA/V,G/TEMPRANO-MIN,DATO,S/G TEMPRANO-MIN,DATO,G/TARDIO-MIN,DATO,S/G TARDIO-MIN,DATO,01-oct,nov-20,21-30,31-40,41-50,51-60,61-70,71-80,81-PITIDO FINAL,SIN GOL,0.5+,0.5-,1.5+,1.5-,2.5+,2.5-,3.5+,3.5-,4.5+,4.5-,5.5+,5.5-,6.5+,6.5-,2/M 0 GOLES,2/M 1 GOL,2/M 2 GOLES,2/M 3 GOLES,2/M 4 GOLES,2/M 5 GOLES +,L-1/M,L-2/M,L/EMPATE,V-1/M,V-2/M,V/EMPATE,P. L. SI,P. L. NO,P. V. SI,P. V. NO,L + DE 0.5,L - DE 0.5,L + DE 1.5,L - DE 1.5,L + DE 2.5,L - DE 2.5,L + DE 3.5,L - DE 3.5,L + DE 4.5,L - DE 4.5,L + DE 5.5,L - DE 5.5,L + DE 6.5,L - DE 6.5,L + DE 7.5,L - DE 7.5, L + DE 8.5,L - DE 8.5 ,L + DE 9.5,L - DE 9.5,V+ DE 0.5,V- DE 0.5,V+ DE 1.5,V- DE 1.5,V+ DE 2.5,V- DE 2.5,V+ DE 3.5,V- DE 3.5,V+ DE 4.5,V- DE 4.5,V+ DE 5.5,V- DE 5.5,V+ DE 6.5,V- DE 6.5,V+ DE 7.5,V- DE 7.5,LOCAL 0 GOL,LOCAL 1 GOL,LOCAL 2 GOLES,LOCAL 3 O MAS GOLES,VISITA 0 GOL,VISITA 1 GOL,VISITA 2 GOLES,VISITA 3 O MAS GOLES,M.V.1L,M.V.1V,M.V.2L,M.V.2V,M.V.3L,M.V.3V,M.V.4+L,M.V.4+V,M.V.EMPATE,M.V.SIN GOL,L. GOL MIN,DATO,L.SIN GOL MIN,DATO,V. GOL MIN,DATO,V.SIN GOL MIN,DATO,G/IMPAR,G/PAR,LOCAL PAR,LOCAL IMPAR,VISITA PAR,VISITA IMPAR,1G/IMPAR,1G/PAR,EQUIPO ANOTARA/L,EQUIPO ANOTARA/0,EQUIPO ANOTARA/V,REULTADO HF,RESULTADO FINAL,CORNERS,CORNERS LOCAL,CORNERS VISITA,TARJETA AMARILLA,TARJETA ROJA
30,2.1,3.8,3.1,1.36,1.7,1.25,1.53,2.4,1.5,2.5,3.5,4.33,5,6.5,4.5,17,3.4,13,23,5.5,6.5,7.5,21,13,5,1.875,1.975,1.57,2.25,3.6,4.33,1.7,17,7.5,1.36,1.11,11,6,5,9,1.083,1.25,6,13,,,,,,,,,1.16,5.25,1.19,4.5,1.23,4,1.375,3,1.55,2.375,1.65,2.2,,,2.075,1.725,2.35,1.575,2.675,1.45,3.45,1.3,3.7,1.26,4,1.23,5,1.17,1.17,5,,,,,,,,,,,,,,,,,,,2.62,2.4,3.5,1.28,1.44,1.53,13,3.1,17,4,6.5,3.5,5.5,4.5,8,5.5,6.5,3.5,3.1,1.95,4,1.025,17,1.16,5,2.25,1.57,4,1.22,8,1.083,17,1.025,29,1.006,,,,,,,,,3.4,7.5,4.75,6,,,1.8,9,7.5,3.2,17,6.5,4.33,4,5,7.5,13,17,5,2.1,2.25,1.5,4.33,17,6.5,3.75,1.25,2.62,1.44,9.5,5.5,3.25,1.9,1.28,3.5,2.25,1.57,5.5,1.14,15,1.03,,,,,3.5,2.62,3.75,7.5,21,34,1.72,17,2.1,25:00:00,1.83,25:00:00,1.83,77:59:00,1.83,77:59:00,1.83,4,4.5,5.5,7,8.5,13,19,23,23,17,1.14,5.5,1.72,2,3.4,1.3,7,1.1,19,1.02,,,,,5.5,3.1,3.4,5.5,11,19,3.4,2.3,2.62,3.4,2.37,2.5,4,1.22,4.5,1.18,1.18,4.5,1.83,1.83,3.75,1.25,10,1.062,23,1.012,51,1.002,,,,,,,,,1.22,54,2,1.72,4.33,1.2,11,1.05,26,1.01,,,,,,,4.5,2.87,3.4,3.75,4,2.75,3.5,4.33,4.5,5,6.5,8,13,17,21,26,4.33,17,44:00:00,1.83,48:00:00,1.83,44:00:00,1.83,48:00:00,1.83,1.97,1.87,1.8,1.9,1.8,1.9,2,1.8,1.72,17,2.1,,,,,,,
31,2,4,3.3,1.33,1.8,1.22,1.5,2.5,1.5,2.5,3.25,4.33,5,7,4.5,19,3.1,13,26,5.5,6.5,8,19,13,5.5,2.05,1.8,1.5,2.5,3.4,4.33,1.8,15,6.5,1.33,1.1,10,6,5.5,9.5,1.09,1.3,6.5,15,,,,,,,,,1.15,5.5,1.175,4.8,1.21,4.25,1.35,3.1,1.5,2.5,1.6,2.3,1.775,2.025,,,2.25,1.625,2.6,1.475,3.1,1.35,3.45,1.3,3.8,1.25,4.65,1.18,6.4,1.115,6.8,1.105,7,1.1,,,,,,,,,,,,,,,2.5,2.5,3.6,1.28,1.5,1.5,12,3,17,4.33,6.5,3.75,5,4.5,8,5.5,6.5,3.75,3.1,1.95,4,1.02,19,1.14,5.5,2.2,1.61,3.75,1.25,7,1.1,15,1.03,29,1.006,51,1.002,,,,,,,4,3.4,7.5,5,9.5,6,1.72,8.5,8,3.25,19,7,4.33,4,4.75,7.5,13,15,5.5,2.1,2.2,1.5,4.33,19,7,3.5,1.28,2.5,1.5,9,5.5,3.25,1.9,1.25,3.75,2.2,1.61,5,1.16,13,1.04,,,,,3.75,2.62,3.6,7.5,19,34,1.61,19,2.3,24:00:00,1.83,24:00:00,1.83,78:59:00,1.83,78:59:00,1.83,4,4.5,5.5,7,8.5,15,19,23,23,19,1.14,5.5,1.66,2.1,3.25,1.33,7,1.1,17,1.025,,,,,5.5,3.2,3.4,5.5,11,17,3.25,2.2,2.75,3.5,2.5,2.4,3.75,1.25,5.5,1.14,1.14,5.5,1.66,2.1,3.25,1.33,7,1.1,17,1.025,41,1.004,,,,,,,,,1.25,3.75,2.25,1.57,5,1.16,15,1.03,34,1.005,,,,,,,5.5,3.1,3.25,3.25,3.75,2.62,3.6,5,4.33,5.5,6,9.5,10,21,15,34,4.75,19,40:00:00,1.83,51:00:00,1.83,40:00:00,1.83,51:00:00,1.83,1.95,1.9,1.83,1.83,1.72,2,2,1.8,1.61,19,2.3,,,,,,,
32,1.44,5,6.5,1.11,2.62,1.16,1.57,2.35,1.8,1.9,3,2.5,10,11,6,15,2.2,17,34,4.33,7,13,19,17,11,1.925,1.925,1.18,4.5,2.1,4,2.62,7.5,3.75,1.11,1.03,6.5,4.33,8,19,1.25,1.66,15,41,,,,,,,1.1,7,1.17,5,1.2,4.4,1.24,3.9,1.4,2.85,1.55,2.375,1.675,2.15,,,2.15,1.675,2.375,1.55,2.75,1.425,3.45,1.3,3.8,1.25,4.15,1.22,5.25,1.16,,,,,,,,,,,,,,,,,,,,,1.9,2.5,6,1.11,1.8,1.5,11,2.2,29,7,8,3.5,3.75,3.5,17,8,8,3.5,3,2,3.75,1.025,17,1.16,5,2.37,1.53,4,1.22,8,1.083,17,1.025,34,1.005,,,,,,,,,2.05,4.33,9.5,12,15,6.5,2.1,5,9.5,2.87,15,6,4,4,5,8,15,19,5,2.1,2.37,1.8,2.5,15,11,4.33,1.2,3.4,1.3,15,5.5,3.75,1.61,1.28,3.5,2.37,1.53,5.5,1.14,15,1.03,,,,,3.5,2.62,3.75,8,21,41,1.3,15,3.5,25:00:00,1.83,77:59:00,1.83,77:59:00,1.83,77:59:00,1.83,4,4.5,6,7,8,13,17,21,23,15,1.16,5,1.8,1.9,3.5,1.28,9,1.071,21,1.015,,,,,5,3,3.4,5.5,12,21,3.1,2.1,3.1,4,3,1.83,2.25,1.57,7,1.1,1.1,7,1.44,2.62,2.5,1.5,5,1.16,11,1.05,,,51,1.002,,,,,,,1.57,2.25,3.75,1.25,13,1.04,34,1.005,,,,,,,,,7,3.6,3.4,2.5,2.25,2.5,5,13,4,8,4.33,19,6.5,51,7.5,151,6.5,15,35:00:00,1.83,78:00:00,1.83,35:00:00,1.83,78:00:00,1.83,1.92,1.92,1.83,1.83,1.61,2.2,2,1.8,1.3,15,3.5,,,,,,,
33,1.65,4.33,4.5,1.18,2.2,1.2,1.44,2.7,1.5,2.5,2.75,3.5,6.5,11,5,21,2.5,13,29,5,7.5,10,17,15,7.5,1.9,1.95,1.28,3.5,2.5,4,2.2,9.5,4.5,1.18,1.05,7.5,5,6.5,13,1.18,1.5,9.5,23,,,,,,,,,1.13,5.9,1.15,5.5,1.17,5,1.3,3.45,1.425,2.75,1.525,2.425,1.65,2.2,,,2.075,1.725,2.35,1.575,2.85,1.4,3.1,1.35,3.45,1.3,4.15,1.22,5.75,1.14,,,6.25,1.12,,,,,,,,,,,,,,,2.1,2.6,4.5,1.16,1.66,1.5,10,2.6,19,5.5,6.5,4,4,4,10,7,6.5,4,3,1.9,4,1.015,21,1.12,6,2,1.72,3.5,1.28,6.5,1.11,13,1.04,23,1.012,51,1.002,,,,,,,3.2,3.1,10,7,9.5,7,1.72,7,9,3.6,21,8,4.5,4.33,4.75,7,11,13,6,2.2,2,1.5,3.5,21,11,3.5,1.28,2.5,1.5,9,5,3.25,1.95,1.22,4,2.1,1.66,4.5,1.18,13,1.04,,,,,4,2.75,3.6,7,17,29,1.44,21,2.75,23:00,1.83,23:00,1.83,79:59:00,1.83,79:59:00,1.83,3.75,4.33,5.5,7,8.5,15,19,23,26,21,1.12,6,1.61,2.2,3,1.36,6.5,1.11,15,1.03,,,,,6,3.25,3.4,5,10,15,3.1,2.1,3.1,3.6,2.6,2.25,3.25,1.33,1.083,FALTA,1.083,8,1.44,2.62,2.5,1.5,5,1.16,11,1.05,26,1.01,,,,,,,,,1.33,3.25,2.62,1.44,6.5,1.11,19,1.02,51,1.002,,,,,,,8,3.6,3.25,2.5,3.25,2.5,4,6.5,4,6.5,5,13,7.5,29,9.5,51,5,21,35:00:00,1.83,57:00:00,1.83,35:00:00,1.83,57:00:00,1.83,1.97,1.87,1.83,1.83,1.72,2,2,1.8,1.44,21,2.75,,,,,,,
34,4.75,3.75,1.72,2.05,1.18,1.25,1.7,2.1,1.66,2.1,8,9,3.5,3.25,4.75,12,7.5,15,21,9.5,6,4.75,34,15,2.75,1.925,1.925,3.4,1.3,2.05,3.75,2.87,26,10,1.4,1.11,15,6.5,5,9,1.045,1.18,6,13,,,,,,,1.13,5.9,1.22,4.15,1.26,3.7,1.325,3.3,1.525,2.425,1.7,2.1,,,2.15,1.675,2.425,1.525,2.675,1.45,3.3,1.325,4.25,1.21,4.5,1.19,1.19,4.5,6.4,1.115,,,,,,,,,,,,,,,,,,,,,4.75,2.3,2.3,1.57,1.16,1.57,23,5,13,2.62,7.5,3.25,12,6.5,5,3.75,7.5,3.25,3.1,2,3.75,1.04,13,1.2,4.33,2.62,1.44,5,1.16,11,1.05,21,1.015,41,1.004,,,,,,,,,7,10,2.6,4.5,12,5,2.1,7.5,7,2.62,12,5.5,3.75,4,5.5,9,17,23,4.33,2,2.62,1.66,9,12,3.25,4.33,1.2,1.33,FALTA,13,6,3.75,1.66,1.33,3.25,2.62,1.44,6.5,1.11,19,1.02,,,,,3.25,2.6,4,9,23,51,2.75,12,1.5,27:00:00,1.83,27:00:00,1.83,76:59:00,1.83,76:59:00,1.83,4.33,4.75,6,7,8,13,17,21,21,12,1.2,4.33,1.83,1.83,4,1.22,10,1.062,23,1.012,,,,,4.33,2.87,3.5,6,13,23,3.75,2.75,2.05,3.25,2.25,2.75,5.5,1.14,2.62,1.44,1.14,5.5,1.72,2,3.4,1.3,8,1.083,,,41,1.004,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.4,4.5,10,5.5,3,3.25,3.4,6.5,3.75,15,5,34,9,51,13,4.75,12,67:00:00,1.83,40:00:00,1.83,67:00:00,1.83,40:00:00,1.83,2,1.85,1.66,2.1,1.83,1.83,2.1,1.72,2.75,12,1.5,,,,,,,
36,1.53,4.5,5.25,1.16,2.37,1.18,1.53,2.4,1.66,2.1,2.87,3,8.5,11,5.5,17,2.37,15,34,4.5,7,12,19,17,9,1.875,1.975,1.22,4,2.37,4,2.37,8.5,4.33,1.16,1.04,7,4.75,7,15,1.2,1.57,12,29,,,,,,,,,1.17,5,1.19,4.5,1.23,4,1.375,3,1.525,2.425,1.65,2.2,,,2.1,1.7,2.35,1.575,2.675,1.45,3.45,1.3,3.7,1.26,4,1.23,5,1.17,1.17,5,,,,,,,,,,,,,,,,,,,2.05,2.5,5,1.14,1.72,1.5,11,2.4,23,6,7,3.5,4,3.75,13,7,7.5,3.5,3,1.95,4,1.025,17,1.16,5,2.25,1.57,4,1.22,8,1.083,17,1.025,29,1.006,,,,,,,,,3.25,2.62,15,7,12,6.5,1.95,6,9,3,17,6.5,4.33,4,5,7.5,13,17,5,2.1,2.25,1.66,3,17,11,4,1.22,3,1.36,12,5.5,3.6,1.72,1.28,3.5,2.25,1.57,5.5,1.14,15,1.03,,,,,3.5,2.62,3.75,7.5,19,34,1.36,17,3,25:00:00,1.83,25:00:00,1.83,77:59:00,1.83,77:59:00,1.83,4,4.5,5.5,7,8.5,13,19,21,23,17,1.14,5.5,1.72,2,3.4,1.3,8,1.083,19,1.02,,,,,5.5,3.1,3.4,5.5,11,19,3.1,2.2,3,3.75,2.75,2,2.62,1.44,7,1.1,1.1,7,1.5,2.5,2.5,1.5,5,1.16,13,1.04,,,51,1.002,,,,,,,1.44,2.62,3.25,1.33,10,1.062,26,1.01,,,,,,,,,7,3.5,3.25,2.5,2.62,2.5,4.5,10,4,7,4.75,15,7,41,8.5,81,5.5,17,35:00:00,1.83,68:00:00,1.83,35:00:00,1.83,68:00:00,1.83,1.92,1.92,1.83,1.83,1.66,2.1,2,1.8,1.36,17,3,,,,,,,
37,1.55,4,5,1.14,2.25,1.2,1.61,2.25,1.7,2.05,3,2.75,9,11,5,15,2.4,15,34,4.5,6.5,11,19,17,9,2.025,1.825,1.22,4,2.4,3.75,2.25,9.5,4.5,1.14,1.035,7.5,4.75,7.5,17,1.18,1.53,12,29,,,,,,,1.11,6.6,1.19,4.5,1.22,4.15,1.26,3.7,1.425,2.75,1.6,2.3,1.75,2.05,1.375,4,,,,,,,3.7,1.26,4.1,1.225,4.4,1.2,5.75,1.14,,,,,,,,,,,,,,,,,,,,,2.1,2.4,5,1.66,1.14,1.53,12,2.4,26,6,7.5,3.5,4,3.75,13,7,7.5,3.5,3,2,3.75,1.03,15,1.18,4.5,2.5,1.5,4.33,1.2,9,1.071,19,1.02,34,1.005,,,,,,,,,2.2,4.5,8,12,12,5.5,2,6.5,8,2.87,15,6.5,4,4,5,8,15,19,4.5,2.05,2.5,1.7,2.75,15,11,4,1.22,3,1.36,13,5.5,3.6,1.66,1.28,3.5,2.37,1.53,5.5,1.14,17,1.025,,,,,3.5,2.62,3.75,8,21,41,1.4,15,3.1,26:00:00,1.83,77:59:00,1.83,77:59:00,1.83,,,4,4.5,6,7,8,13,17,21,23,15,1.16,5,1.8,1.9,3.5,1.28,9,1.071,21,1.015,,,,,5,3,3.4,5.5,12,21,3.2,2.2,3,3.75,2.87,2,2.5,1.5,1.1,FALTA,1.1,7,1.53,2.37,2.62,1.44,5.5,1.14,13,1.04,,,,,,,,,,,1.5,2.5,3.4,1.3,10,1.062,529,1.006,,,,,,,,,7,3.4,3.25,2.62,2.5,2.4,4.75,10,3.75,7.5,4.75,17,7.5,41,9.5,81,5,15,36:00:00,1.83,70:00:00,1.83,36:00:00,1.83,70:00:00,1.83,1.97,1.87,1.83,1.83,1.66,2.1,2,1.8,1.4,15,3.1,,,,,,,
38,2.7,2.8,2.75,1.4,1.44,1.4,2.7,1.44,2.2,1.61,7.5,3.75,7.5,4,4.75,6,4.5,15,34,6,4,6,34,15,4.75,2.1,1.775,1.83,1.83,6.5,4,1.44,41,17,1.4,1.09,21,8.5,4.33,9,1.025,1.1,7,19,1.12,6.25,1.15,5.5,1.18,4.65,1.375,3,1.55,2.375,1.725,2.075,,,2.375,1.55,2.75,1.425,3.45,1.3,4.5,1.19,5.25,1.16,5.75,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.9,3.75,1.25,1.28,1.8,29,3.75,29,4,9.5,2.2,12,4.5,12,4.75,9.5,2.2,3.25,2.2,3,1.11,6.5,1.53,2.37,5.5,1.14,13,1.04,29,1.006,,,,,,,,,,,,,6,4.5,6,4.75,19,3.2,3.2,13,6,1.8,6,3.5,3.25,4.75,8.5,21,41,67,2.37,2,5.5,2.2,3.75,6,4,6.5,1.11,4.33,1.2,26,7.5,4.75,1.36,1.61,2.2,4,1.22,13,1.04,,,,,,,2.2,2.5,5,15,41,126,2,6,2.25,37:00:00,1.83,37:00:00,1.83,66:59:00,1.83,66:59:00,1.83,6,6,7,7.5,8,12,15,15,15,6,1.36,3,2.75,1.4,7,1.1,21,1.015,,,,,,,3,2.5,4,9.5,29,51,4,2.75,2,4,2.75,2,2.5,1.5,2.62,1.44,1.44,2.62,3.4,1.3,10,1.062,26,1.01,,,,,,,,,,,,,1.5,2.5,3.4,1.3,10,1.062,29,1.006,,,,,,,,,2.62,2.4,4.5,10,2.5,2.4,4.75,10,4,4.33,8.5,9,21,23,41,41,4.75,6,68:00:00,1.83,70:00:00,1.83,68:00:00,1.83,70:00:00,1.83,2.02,1.82,1.66,2.1,1.66,2.1,2.3,1.61,2,6,2.25,,,,,,,
39,1.75,3.3,4.2,1.2,1.9,1.3,1.75,2.05,1.66,2.1,3.5,3.4,7.5,9,4.33,12,2.87,13,34,4.75,6,9,21,15,7,1.975,1.875,1.33,3.25,3.1,3.75,1.9,13,6,1.2,1.05,9,5,6.5,13,1.1,1.36,9.5,23,,,,,,,1.14,5.75,1.225,4.1,1.275,3.55,1.325,3.3,1.525,2.425,1.75,2.05,,,2.25,1.625,2.5,1.5,2.75,1.425,3.45,1.3,4.4,1.2,4.8,1.175,5.25,1.16,6.6,1.11,,,,,,,,,,,,,,,,,,,,,2.4,2.3,4.33,1.2,1.53,1.57,15,2.75,23,5,7,3.25,5,4,12,6,7.5,3.25,3.1,2,3.75,1.04,13,1.22,4,2.75,1.4,5.5,1.14,11,1.05,23,1.012,51,1.002,,,,,,,,,2.62,4.75,7,10,10,4.75,2.05,8,7,2.62,12,5.5,3.75,4.33,5.5,9.5,17,23,4,2,2.75,1.66,3.4,12,9,4.33,1.2,3,1.36,13,6,3.6,1.66,1.33,3.25,2.62,1.44,6.5,1.11,19,1.02,,,,,3.25,2.6,4,9,23,51,1.5,12,2.75,27:00:00,1.83,27:00:00,1.83,75:59:00,1.83,75:59:00,1.83,4.33,4.75,6,7,8,13,17,21,21,12,1.18,4.5,1.83,1.83,3.75,1.25,10,1.062,23,1.012,,,,,4.5,2.87,3.4,6,13,23,3.25,2.25,2.75,3.75,2.75,2.05,2.62,1.44,5.5,1.14,1.14,5.5,1.72,2,3.4,1.3,8,1.083,19,1.02,,,,,,,,,,,1.44,2.62,3.25,1.33,9,1.071,26,1.01,,,,,,,,,5.5,3,3.25,3.4,2.62,2.4,4.33,9,3.75,6.5,5,13,9,34,13,51,4.5,12,41:00:00,1.83,65:00:00,1.83,41:00:00,1.83,65:00:00,1.83,2.02,1.82,1.83,1.83,1.66,2.1,2.1,1.72,1.5,12,2.75,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
